"09190: Final expenditure and gross domestic product, by macroeconomic indicator, quarter and contents"

"macroeconomic indicator";"quarter";"Constant 2022-prices, seasonally adjusted (NOK million)"
"Gross domestic product Mainland Norway, basic values";"2004K4";543783
"Gross domestic product Mainland Norway, basic values";"2005K1";548223
"Gross domestic product Mainland Norway, basic values";"2005K2";563561
"Gross domestic product Mainland Norway, basic values";"2005K3";563427
"Gross domestic product Mainland Norway, basic values";"2005K4";572605
"Gross domestic product Mainland Norway, basic values";"2006K1";579387
"Gross domestic product Mainland Norway, basic values";"2006K2";585531
"Gross domestic product Mainland Norway, basic values";"2006K3";588267
"Gross domestic product Mainland Norway, basic values";"2006K4";603075
"Gross domestic product Mainland Norway, basic values";"2007K1";612376
"Gross domestic product Mainland Norway, basic values";"2007K2";614281
"Gross domestic product Mainland Norway, basic values";"2007K3";627612
"Gross domestic product Mainland Norway, basic values";"2007K4";631593
"Gross domestic product Mainland Norway, basic values";"2008K1";629667
"Gross domestic product Mainland Norway, basic values";"2008K2";639516
"Gross domestic product Mainland Norway, basic values";"2008K3";643799
"Gross domestic product Mainland Norway, basic values";"2008K4";630920
"Gross domestic product Mainland Norway, basic values";"2009K1";623860
"Gross domestic product Mainland Norway, basic values";"2009K2";624100
"Gross domestic product Mainland Norway, basic values";"2009K3";622032
"Gross domestic product Mainland Norway, basic values";"2009K4";624269
"Gross domestic product Mainland Norway, basic values";"2010K1";634089
"Gross domestic product Mainland Norway, basic values";"2010K2";634719
"Gross domestic product Mainland Norway, basic values";"2010K3";636233
"Gross domestic product Mainland Norway, basic values";"2010K4";634649
"Gross domestic product Mainland Norway, basic values";"2011K1";639270
"Gross domestic product Mainland Norway, basic values";"2011K2";644268
"Gross domestic product Mainland Norway, basic values";"2011K3";647548
"Gross domestic product Mainland Norway, basic values";"2011K4";651307
"Gross domestic product Mainland Norway, basic values";"2012K1";666720
"Gross domestic product Mainland Norway, basic values";"2012K2";667060
"Gross domestic product Mainland Norway, basic values";"2012K3";670661
"Gross domestic product Mainland Norway, basic values";"2012K4";676461
"Gross domestic product Mainland Norway, basic values";"2013K1";682102
"Gross domestic product Mainland Norway, basic values";"2013K2";682712
"Gross domestic product Mainland Norway, basic values";"2013K3";687445
"Gross domestic product Mainland Norway, basic values";"2013K4";692916
"Gross domestic product Mainland Norway, basic values";"2014K1";695308
"Gross domestic product Mainland Norway, basic values";"2014K2";701158
"Gross domestic product Mainland Norway, basic values";"2014K3";703676
"Gross domestic product Mainland Norway, basic values";"2014K4";707099
"Gross domestic product Mainland Norway, basic values";"2015K1";709256
"Gross domestic product Mainland Norway, basic values";"2015K2";711767
"Gross domestic product Mainland Norway, basic values";"2015K3";712650
"Gross domestic product Mainland Norway, basic values";"2015K4";710685
"Gross domestic product Mainland Norway, basic values";"2016K1";713389
"Gross domestic product Mainland Norway, basic values";"2016K2";712538
"Gross domestic product Mainland Norway, basic values";"2016K3";715246
"Gross domestic product Mainland Norway, basic values";"2016K4";715449
"Gross domestic product Mainland Norway, basic values";"2017K1";722766
"Gross domestic product Mainland Norway, basic values";"2017K2";729490
"Gross domestic product Mainland Norway, basic values";"2017K3";733654
"Gross domestic product Mainland Norway, basic values";"2017K4";740051
"Gross domestic product Mainland Norway, basic values";"2018K1";741392
"Gross domestic product Mainland Norway, basic values";"2018K2";745477
"Gross domestic product Mainland Norway, basic values";"2018K3";747686
"Gross domestic product Mainland Norway, basic values";"2018K4";756025
"Gross domestic product Mainland Norway, basic values";"2019K1";758846
"Gross domestic product Mainland Norway, basic values";"2019K2";766202
"Gross domestic product Mainland Norway, basic values";"2019K3";773710
"Gross domestic product Mainland Norway, basic values";"2019K4";773524
"Gross domestic product Mainland Norway, basic values";"2020K1";757804
"Gross domestic product Mainland Norway, basic values";"2020K2";707909
"Gross domestic product Mainland Norway, basic values";"2020K3";738941
"Gross domestic product Mainland Norway, basic values";"2020K4";755455
"Gross domestic product Mainland Norway, basic values";"2021K1";757590
"Gross domestic product Mainland Norway, basic values";"2021K2";762534
"Gross domestic product Mainland Norway, basic values";"2021K3";779661
"Gross domestic product Mainland Norway, basic values";"2021K4";792345
"Gross domestic product Mainland Norway, basic values";"2022K1";799581
"Gross domestic product Mainland Norway, basic values";"2022K2";810064
"Gross domestic product Mainland Norway, basic values";"2022K3";813692
"Gross domestic product Mainland Norway, basic values";"2022K4";819742
"Gross domestic product Mainland Norway, basic values";"2023K1";818779
"Gross domestic product Mainland Norway, basic values";"2023K2";822292
"Gross domestic product Mainland Norway, basic values";"2023K3";824618
"Gross domestic product Mainland Norway, basic values";"2023K4";825487
